08/03/11 20:47:53   03:47:53:311     ==> DLL started
08/03/11 20:48:19   03:48:19:233     GetResults.prx[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:19   03:48:19:233     data len=0 []
08/03/11 20:48:19   03:48:19:233    GetResults=0
08/03/11 20:48:20   03:48:20:311    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x8C ACKS P]
08/03/11 20:48:20   03:48:20:358     GetResults.prx[00 90 00 8c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:20   03:48:20:358     data len=3 [0 0]
08/03/11 20:48:20   03:48:20:358    GetResults=0
08/03/11 20:48:20   03:48:20:358    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R ACKM R ACKM P]
08/03/11 20:48:20   03:48:20:389     GetResults.prx[00 91 00 94 00 94 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:20   03:48:20:389     data len=9 [0 148 148]
08/03/11 20:48:20   03:48:20:389    GetResults=0
08/03/11 20:48:20   03:48:20:827    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x8C ACKS P]
08/03/11 20:48:20   03:48:20:858     GetResults.prx[00 90 00 8c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:20   03:48:20:858     data len=3 [0 0]
08/03/11 20:48:20   03:48:20:858    GetResults=0
08/03/11 20:48:20   03:48:20:858    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R ACKM R ACKM P]
08/03/11 20:48:20   03:48:20:874     GetResults.prx[00 91 00 94 00 94 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:20   03:48:20:874     data len=9 [0 148 148]
08/03/11 20:48:20   03:48:20:874    GetResults=0
08/03/11 20:48:22   03:48:22:171    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x01 ACKS P]
08/03/11 20:48:22   03:48:22:218     GetResults.prx[00 90 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:218     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:218    GetResults=0
08/03/11 20:48:22   03:48:22:218    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:249     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:249     data len=4 [0 26]
08/03/11 20:48:22   03:48:22:249    GetResults=0
08/03/11 20:48:22   03:48:22:249    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x03 ACKS P]
08/03/11 20:48:22   03:48:22:280     GetResults.prx[00 90 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:280     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:280    GetResults=0
08/03/11 20:48:22   03:48:22:280    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:311     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:311     data len=3 [0 2]
08/03/11 20:48:22   03:48:22:311    GetResults=0
08/03/11 20:48:22   03:48:22:311    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x05 ACKS P]
08/03/11 20:48:22   03:48:22:343     GetResults.prx[00 90 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:343     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:343    GetResults=0
08/03/11 20:48:22   03:48:22:343    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:374     GetResults.prx[00 91 00 f6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:374     data len=5 [0 246]
08/03/11 20:48:22   03:48:22:374    GetResults=0
08/03/11 20:48:22   03:48:22:374    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x07 ACKS P]
08/03/11 20:48:22   03:48:22:405     GetResults.prx[00 90 00 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:405     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:405    GetResults=0
08/03/11 20:48:22   03:48:22:405    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:436     GetResults.prx[00 91 00 3c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]

08/03/11 20:48:22   03:48:22:436     data len=4 [0 60]
08/03/11 20:48:22   03:48:22:436    GetResults=0
08/03/11 20:48:22   03:48:22:436    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x09 ACKS P]
08/03/11 20:48:22   03:48:22:468     GetResults.prx[00 90 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:468     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:468    GetResults=0
08/03/11 20:48:22   03:48:22:468    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:499     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:499     data len=4 [0 26]
08/03/11 20:48:22   03:48:22:499    GetResults=0
08/03/11 20:48:22   03:48:22:530    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x0B ACKS P]
08/03/11 20:48:22   03:48:22:561     GetResults.prx[00 90 00 0b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:561     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:561    GetResults=0
08/03/11 20:48:22   03:48:22:561    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:593     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:593     data len=3 [0 2]
08/03/11 20:48:22   03:48:22:593    GetResults=0
08/03/11 20:48:22   03:48:22:593    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x0D ACKS P]
08/03/11 20:48:22   03:48:22:624     GetResults.prx[00 90 00 0d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:624     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:624    GetResults=0
08/03/11 20:48:22   03:48:22:624    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:655     GetResults.prx[00 91 00 f6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:655     data len=5 [0 246]
08/03/11 20:48:22   03:48:22:655    GetResults=0
08/03/11 20:48:22   03:48:22:655    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x0F ACKS P]
08/03/11 20:48:22   03:48:22:671     GetResults.prx[00 90 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:671     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:671    GetResults=0
08/03/11 20:48:22   03:48:22:671    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:702     GetResults.prx[00 91 00 3c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:702     data len=4 [0 60]
08/03/11 20:48:22   03:48:22:702    GetResults=0
08/03/11 20:48:22   03:48:22:702    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x11 ACKS P]
08/03/11 20:48:22   03:48:22:733     GetResults.prx[00 90 00 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:733     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:733    GetResults=0
08/03/11 20:48:22   03:48:22:733    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:764     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:764     data len=4 [0 26]
08/03/11 20:48:22   03:48:22:764    GetResults=0
08/03/11 20:48:22   03:48:22:764    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x13 ACKS P]
08/03/11 20:48:22   03:48:22:796     GetResults.prx[00 90 00 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:796     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:796    GetResults=0
08/03/11 20:48:22   03:48:22:796    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:827     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:827     data len=3 [0 2]
08/03/11 20:48:22   03:48:22:827    GetResults=0
08/03/11 20:48:22   03:48:22:858    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x15 ACKS P]
08/03/11 20:48:22   03:48:22:889     GetResults.prx[00 90 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:889     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:889    GetResults=0
08/03/11 20:48:22   03:48:22:889    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:936     GetResults.prx[00 91 00 f6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:936     data len=5 [0 246]
08/03/11 20:48:22   03:48:22:936    GetResults=0
08/03/11 20:48:22   03:48:22:936    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x17 ACKS P]
08/03/11 20:48:22   03:48:22:968     GetResults.prx[00 90 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:968     data len=3 [0 0]
08/03/11 20:48:22   03:48:22:968    GetResults=0
08/03/11 20:48:22   03:48:22:968    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:22   03:48:22:999     GetResults.prx[00 91 00 3c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:22   03:48:22:999     data len=4 [0 60]
08/03/11 20:48:22   03:48:22:999    GetResults=0
08/03/11 20:48:22   03:48:22:999    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x19 ACKS P]
08/03/11 20:48:23   03:48:23:030     GetResults.prx[00 90 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:030     data len=3 [0 0]
08/03/11 20:48:23   03:48:23:030    GetResults=0
08/03/11 20:48:23   03:48:23:030    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:23   03:48:23:061     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:061     data len=4 [0 26]
08/03/11 20:48:23   03:48:23:061    GetResults=0
08/03/11 20:48:23   03:48:23:061    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x1B ACKS P]
08/03/11 20:48:23   03:48:23:093     GetResults.prx[00 90 00 1b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:093     data len=3 [0 0]
08/03/11 20:48:23   03:48:23:093    GetResults=0
08/03/11 20:48:23   03:48:23:093    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:23   03:48:23:124     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:124     data len=3 [0 2]
08/03/11 20:48:23   03:48:23:124    GetResults=0
08/03/11 20:48:23   03:48:23:124    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x1D ACKS P]
08/03/11 20:48:23   03:48:23:155     GetResults.prx[00 90 00 1d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:155     data len=3 [0 0]
08/03/11 20:48:23   03:48:23:155    GetResults=0
08/03/11 20:48:23   03:48:23:155    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:23   03:48:23:186     GetResults.prx[00 91 00 f6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:186     data len=5 [0 246]
08/03/11 20:48:23   03:48:23:186    GetResults=0
08/03/11 20:48:23   03:48:23:186    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x1F ACKS P]
08/03/11 20:48:23   03:48:23:218     GetResults.prx[00 90 00 1f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:218     data len=3 [0 0]
08/03/11 20:48:23   03:48:23:218    GetResults=0
08/03/11 20:48:23   03:48:23:218    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:23   03:48:23:249     GetResults.prx[00 91 00 3c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:23   03:48:23:249     data len=4 [0 60]
08/03/11 20:48:23   03:48:23:249    GetResults=0
08/03/11 20:48:25   03:48:25:718    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x01 ACKS P]
08/03/11 20:48:25   03:48:25:749     GetResults.prx[00 90 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:749     data len=3 [0 0]
08/03/11 20:48:25   03:48:25:749    GetResults=0

08/03/11 20:48:25   03:48:25:749    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:25   03:48:25:780     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:780     data len=4 [0 26]
08/03/11 20:48:25   03:48:25:780    GetResults=0
08/03/11 20:48:25   03:48:25:811    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x03 ACKS P]
08/03/11 20:48:25   03:48:25:843     GetResults.prx[00 90 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:843     data len=3 [0 0]
08/03/11 20:48:25   03:48:25:843    GetResults=0
08/03/11 20:48:25   03:48:25:858    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:25   03:48:25:889     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:889     data len=3 [0 2]
08/03/11 20:48:25   03:48:25:889    GetResults=0
08/03/11 20:48:25   03:48:25:889    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x05 ACKS P]
08/03/11 20:48:25   03:48:25:936     GetResults.prx[00 90 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:936     data len=3 [0 0]
08/03/11 20:48:25   03:48:25:936    GetResults=0
08/03/11 20:48:25   03:48:25:936    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:25   03:48:25:968     GetResults.prx[00 91 00 f6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:968     data len=5 [0 246]
08/03/11 20:48:25   03:48:25:968    GetResults=0
08/03/11 20:48:25   03:48:25:968    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x07 ACKS P]
08/03/11 20:48:25   03:48:25:999     GetResults.prx[00 90 00 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:25   03:48:25:999     data len=3 [0 0]
08/03/11 20:48:25   03:48:25:999    GetResults=0
08/03/11 20:48:25   03:48:25:999    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:26   03:48:26:030     GetResults.prx[00 91 00 3c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:26   03:48:26:030     data len=4 [0 60]
08/03/11 20:48:26   03:48:26:030    GetResults=0
08/03/11 20:48:26   03:48:26:030    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x09 ACKS P]
08/03/11 20:48:26   03:48:26:061     GetResults.prx[00 90 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:26   03:48:26:061     data len=3 [0 0]
08/03/11 20:48:26   03:48:26:061    GetResults=0
08/03/11 20:48:26   03:48:26:061    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:26   03:48:26:093     GetResults.prx[00 91 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:26   03:48:26:093     data len=4 [0 26]
08/03/11 20:48:26   03:48:26:093    GetResults=0
08/03/11 20:48:26   03:48:26:093    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x90 ACKS 0x0B ACKS P]
08/03/11 20:48:26   03:48:26:124     GetResults.prx[00 90 00 0b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:26   03:48:26:124     data len=3 [0 0]
08/03/11 20:48:26   03:48:26:124    GetResults=0
08/03/11 20:48:26   03:48:26:124    RunMnemoCmdAdr=0, adr:0x2F90/12176 cmd:[I2C CH1 S 0x91 ACKS R P]
08/03/11 20:48:26   03:48:26:155     GetResults.prx[00 91 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01]
08/03/11 20:48:26   03:48:26:155     data len=3 [0 2]
08/03/11 20:48:26   03:48:26:155    GetResults=0
